id,FlightNum,Origin,Dest,DepTime1,ArrTime1
40,378,JAX,FLL,2008-01-03 21:39:00,2008-01-03 22:44:00
41,3948,JAX,FLL,2008-01-03 17:38:00,2008-01-03 18:41:00
42,54,JAX,HOU,2008-01-03 18:13:00,2008-01-03 19:36:00
43,2272,JAX,IND,2008-01-03 08:02:00,2008-01-03 10:01:00
44,23,JAX,PHL,2008-01-03 17:34:00,2008-01-03 19:41:00
45,1232,JAX,PHL,2008-01-03 07:12:00,2008-01-03 09:26:00
46,977,JAX,TPA,2008-01-03 13:18:00,2008-01-03 14:10:00
47,1574,JAX,TPA,2008-01-03 09:58:00,2008-01-03 10:52:00
48,2019,JAX,TPA,2008-01-03 18:59:00,2008-01-03 19:50:00
49,500,LAS,ABQ,2008-01-03 15:38:00,2008-01-03 17:53:00
50,890,LAS,ABQ,2008-01-03 22:48:00,2008-01-04 01:02:00
51,1171,LAS,ABQ,2008-01-03 13:27:00,2008-01-03 15:50:00
52,1925,LAS,ABQ,2008-01-03 16:14:00,2008-01-03 18:33:00
53,302,LAS,ALB,2008-01-03 18:32:00,2008-01-04 01:48:00
54,1079,LAS,AMA,2008-01-03 12:29:00,2008-01-03 16:33:00
55,155,LAS,AUS,2008-01-03 12:56:00,2008-01-03 17:24:00
56,2021,LAS,AUS,2008-01-03 21:18:00,2008-01-04 01:44:00
57,3222,LAS,AUS,2008-01-03 09:05:00,2008-01-03 13:34:00
58,1018,LAS,BDL,2008-01-03 17:39:00,2008-01-04 01:14:00
59,419,LAS,BNA,2008-01-03 13:25:00,2008-01-03 18:41:00
60,2032,LAS,BNA,2008-01-03 15:06:00,2008-01-03 20:30:00
61,3940,LAS,BNA,2008-01-03 20:39:00,2008-01-04 01:55:00
62,538,LAS,BOI,2008-01-03 16:11:00,2008-01-03 18:49:00
63,2383,LAS,BUF,2008-01-03 18:24:00,2008-01-04 01:17:00
64,219,LAS,BUR,2008-01-03 21:18:00,2008-01-03 22:24:00
65,391,LAS,BUR,2008-01-03 18:18:00,2008-01-03 19:16:00
66,815,LAS,BUR,2008-01-03 21:46:00,2008-01-03 22:50:00
67,1072,LAS,BUR,2008-01-03 22:41:00,2008-01-03 23:40:00
68,1328,LAS,BUR,2008-01-03 14:09:00,2008-01-03 15:13:00
69,1586,LAS,BUR,2008-01-03 11:00:00,2008-01-03 11:57:00
70,1838,LAS,BUR,2008-01-03 13:06:00,2008-01-03 14:06:00
71,2284,LAS,BUR,2008-01-03 17:26:00,2008-01-03 18:32:00
72,2874,LAS,BUR,2008-01-03 12:29:00,2008-01-03 13:42:00
73,1774,LAS,BWI,2008-01-03 09:08:00,2008-01-03 16:28:00
74,2632,LAS,BWI,2008-01-03 18:17:00,2008-01-04 01:22:00
75,818,LAS,CLE,2008-01-03 09:56:00,2008-01-03 16:58:00
76,564,LAS,CMH,2008-01-03 18:49:00,2008-01-04 01:21:00
77,991,LAS,CMH,2008-01-03 12:10:00,2008-01-03 19:05:00
78,157,LAS,DEN,2008-01-03 10:47:00,2008-01-03 13:28:00
79,632,LAS,DEN,2008-01-03 22:32:00,2008-01-04 01:08:00
80,706,LAS,DEN,2008-01-03 15:12:00,2008-01-03 18:02:00
81,908,LAS,DEN,2008-01-03 20:25:00,2008-01-03 23:01:00
82,1582,LAS,DEN,2008-01-03 14:39:00,2008-01-03 17:20:00
83,2907,LAS,DEN,2008-01-03 16:27:00,2008-01-03 19:16:00
84,2192,LAS,ELP,2008-01-03 17:45:00,2008-01-03 20:17:00
85,2280,LAS,ELP,2008-01-03 10:49:00,2008-01-03 13:20:00
86,1636,LAS,GEG,2008-01-03 11:17:00,2008-01-03 13:25:00
87,2803,LAS,GEG,2008-01-03 17:25:00,2008-01-03 19:40:00
88,719,LAS,HOU,2008-01-03 18:24:00,2008-01-03 23:03:00
89,1776,LAS,HOU,2008-01-03 11:50:00,2008-01-03 16:44:00
90,3244,LAS,HOU,2008-01-03 07:49:00,2008-01-03 12:27:00
91,3746,LAS,HOU,2008-01-03 20:51:00,2008-01-04 01:34:00
92,1027,LAS,IAD,2008-01-03 15:55:00,2008-01-03 23:07:00
93,1924,LAS,IND,2008-01-03 22:55:00,2008-01-04 05:09:00
94,3920,LAS,IND,2008-01-03 11:29:00,2008-01-03 17:57:00
95,3144,LAS,ISP,2008-01-03 16:02:00,2008-01-03 23:57:00
96,82,LAS,LAX,2008-01-03 17:38:00,2008-01-03 18:38:00
97,135,LAS,LAX,2008-01-03 22:07:00,2008-01-03 23:06:00
98,317,LAS,LAX,2008-01-03 18:51:00,2008-01-03 20:04:00
99,337,LAS,LAX,2008-01-03 07:01:00,2008-01-03 08:02:00
100,354,LAS,LAX,2008-01-03 15:56:00,2008-01-03 17:04:00
101,1061,LAS,LAX,2008-01-03 15:40:00,2008-01-03 16:48:00
102,1928,LAS,LAX,2008-01-03 12:28:00,2008-01-03 13:40:00
103,2367,LAS,LAX,2008-01-03 20:47:00,2008-01-03 22:09:00
104,2896,LAS,LAX,2008-01-03 21:58:00,2008-01-03 23:03:00
105,2382,LAS,LBB,2008-01-03 11:47:00,2008-01-03 15:41:00
106,565,LAS,LIT,2008-01-03 08:59:00,2008-01-03 13:43:00
107,43,LAS,MAF,2008-01-03 11:40:00,2008-01-03 15:37:00
108,213,LAS,MCI,2008-01-03 12:26:00,2008-01-03 17:21:00
109,411,LAS,MCI,2008-01-03 21:18:00,2008-01-04 01:54:00
110,1004,LAS,MCI,2008-01-03 20:03:00,2008-01-04 00:26:00
111,1405,LAS,MCI,2008-01-03 16:22:00,2008-01-03 20:59:00
112,3068,LAS,MCI,2008-01-03 10:03:00,2008-01-03 14:41:00
113,380,LAS,MCO,2008-01-03 13:19:00,2008-01-03 20:33:00
114,74,LAS,MDW,2008-01-03 15:06:00,2008-01-03 21:22:00
115,396,LAS,MDW,2008-01-03 14:24:00,2008-01-03 19:41:00
116,693,LAS,MDW,2008-01-03 12:11:00,2008-01-03 17:50:00
117,823,LAS,MDW,2008-01-03 08:14:00,2008-01-03 13:34:00
118,1865,LAS,MDW,2008-01-03 17:08:00,2008-01-03 22:14:00
119,2025,LAS,MDW,2008-01-03 19:19:00,2008-01-04 00:31:00
120,2450,LAS,MDW,2008-01-03 19:45:00,2008-01-04 00:52:00
121,2794,LAS,MDW,2008-01-03 20:57:00,2008-01-04 02:02:00
122,3232,LAS,MDW,2008-01-03 13:54:00,2008-01-03 19:07:00
123,767,LAS,MHT,2008-01-03 17:03:00,2008-01-04 00:33:00
124,3327,LAS,MSY,2008-01-03 19:03:00,2008-01-04 00:05:00
125,127,LAS,OAK,2008-01-03 13:54:00,2008-01-03 15:25:00
126,223,LAS,OAK,2008-01-03 19:44:00,2008-01-03 21:10:00
127,237,LAS,OAK,2008-01-03 12:51:00,2008-01-03 14:25:00
128,280,LAS,OAK,2008-01-03 15:48:00,2008-01-03 17:28:00
129,900,LAS,OAK,2008-01-03 22:16:00,2008-01-03 23:48:00
130,962,LAS,OAK,2008-01-03 20:10:00,2008-01-03 22:03:00
131,1011,LAS,OAK,2008-01-03 14:33:00,2008-01-03 16:08:00
132,1258,LAS,OAK,2008-01-03 09:35:00,2008-01-03 11:06:00
133,3135,LAS,OAK,2008-01-03 20:35:00,2008-01-03 22:09:00
134,86,LAS,OKC,2008-01-03 11:52:00,2008-01-03 16:16:00
135,479,LAS,OMA,2008-01-03 14:35:00,2008-01-03 18:59:00
136,875,LAS,OMA,2008-01-03 20:49:00,2008-01-04 01:06:00
137,725,LAS,ONT,2008-01-03 20:15:00,2008-01-03 21:01:00
138,906,LAS,ONT,2008-01-03 11:02:00,2008-01-03 11:52:00
139,1493,LAS,ONT,2008-01-03 22:18:00,2008-01-03 23:08:00
140,1670,LAS,ONT,2008-01-03 08:51:00,2008-01-03 09:38:00
141,2018,LAS,ONT,2008-01-03 12:30:00,2008-01-03 13:31:00
142,2730,LAS,ONT,2008-01-03 18:38:00,2008-01-03 19:30:00
143,3070,LAS,ONT,2008-01-03 13:58:00,2008-01-03 14:49:00
144,156,LAS,ORF,2008-01-03 17:57:00,2008-01-04 01:08:00
145,700,LAS,PDX,2008-01-03 18:16:00,2008-01-03 20:22:00
146,2354,LAS,PDX,2008-01-03 13:28:00,2008-01-03 15:49:00
147,2550,LAS,PDX,2008-01-03 21:34:00,2008-01-03 23:43:00
148,1285,LAS,PHL,2008-01-03 11:27:00,2008-01-03 18:56:00
149,1843,LAS,PHL,2008-01-03 17:20:00,2008-01-04 00:41:00
150,243,LAS,PHX,2008-01-03 07:12:00,2008-01-03 09:32:00
151,287,LAS,PHX,2008-01-03 13:27:00,2008-01-03 15:33:00
152,504,LAS,PHX,2008-01-03 18:17:00,2008-01-03 20:16:00
153,559,LAS,PHX,2008-01-03 18:07:00,2008-01-03 20:11:00
154,668,LAS,PHX,2008-01-03 17:12:00,2008-01-03 19:14:00
155,781,LAS,PHX,2008-01-03 11:34:00,2008-01-03 13:43:00
156,1403,LAS,PHX,2008-01-03 21:56:00,2008-01-03 23:53:00
157,1682,LAS,PHX,2008-01-03 21:40:00,2008-01-03 23:34:00
158,2726,LAS,PHX,2008-01-03 15:21:00,2008-01-03 17:25:00
159,2991,LAS,PHX,2008-01-03 21:00:00,2008-01-03 22:55:00
160,3517,LAS,PHX,2008-01-03 16:57:00,2008-01-03 19:05:00
161,3598,LAS,PHX,2008-01-03 09:26:00,2008-01-03 11:29:00
162,512,LAS,PIT,2008-01-03 18:25:00,2008-01-04 01:14:00
163,594,LAS,PIT,2008-01-03 09:27:00,2008-01-03 16:31:00
164,416,LAS,PVD,2008-01-03 16:30:00,2008-01-04 00:23:00
165,170,LAS,RDU,2008-01-03 11:36:00,2008-01-03 18:52:00
166,1509,LAS,RDU,2008-01-03 18:24:00,2008-01-04 01:21:00
167,239,LAS,RNO,2008-01-03 17:16:00,2008-01-03 18:30:00
168,298,LAS,RNO,2008-01-03 19:28:00,2008-01-03 20:34:00
169,675,LAS,RNO,2008-01-03 17:41:00,2008-01-03 19:05:00
170,709,LAS,RNO,2008-01-03 16:09:00,2008-01-03 17:32:00
171,891,LAS,RNO,2008-01-03 09:13:00,2008-01-03 10:29:00
172,1341,LAS,RNO,2008-01-03 22:15:00,2008-01-03 23:34:00
173,2273,LAS,RNO,2008-01-03 21:37:00,2008-01-03 22:51:00
174,2719,LAS,RNO,2008-01-03 11:00:00,2008-01-03 12:10:00
175,3430,LAS,RNO,2008-01-03 13:13:00,2008-01-03 14:37:00
176,3835,LAS,RNO,2008-01-03 14:15:00,2008-01-03 15:27:00
177,341,LAS,SAN,2008-01-03 13:48:00,2008-01-03 14:55:00
178,708,LAS,SAN,2008-01-03 21:40:00,2008-01-03 22:40:00
179,715,LAS,SAN,2008-01-03 16:43:00,2008-01-03 17:51:00
180,1037,LAS,SAN,2008-01-03 09:46:00,2008-01-03 10:45:00
181,1254,LAS,SAN,2008-01-03 19:15:00,2008-01-03 20:16:00
182,2186,LAS,SAN,2008-01-03 18:39:00,2008-01-03 19:45:00
183,2211,LAS,SAN,2008-01-03 22:07:00,2008-01-03 23:07:00
184,2357,LAS,SAN,2008-01-03 15:03:00,2008-01-03 16:04:00
185,2363,LAS,SAN,2008-01-03 16:13:00,2008-01-03 17:27:00
186,2449,LAS,SAN,2008-01-03 22:48:00,2008-01-03 23:46:00
187,3423,LAS,SAN,2008-01-03 11:18:00,2008-01-03 12:25:00
188,120,LAS,SAT,2008-01-03 14:56:00,2008-01-03 19:20:00
189,802,LAS,SAT,2008-01-03 20:22:00,2008-01-04 00:36:00
190,2113,LAS,SAT,2008-01-03 10:49:00,2008-01-03 15:09:00
191,495,LAS,SDF,2008-01-03 18:31:00,2008-01-04 01:10:00
192,340,LAS,SEA,2008-01-03 17:04:00,2008-01-03 19:29:00
193,563,LAS,SEA,2008-01-03 20:17:00,2008-01-03 22:41:00
194,2465,LAS,SEA,2008-01-03 11:17:00,2008-01-03 13:30:00
195,488,LAS,SFO,2008-01-03 14:26:00,2008-01-03 16:05:00
196,619,LAS,SFO,2008-01-03 10:09:00,2008-01-03 11:48:00
197,2005,LAS,SFO,2008-01-03 20:21:00,2008-01-03 23:03:00
198,2788,LAS,SFO,2008-01-03 20:25:00,2008-01-03 22:08:00
199,3061,LAS,SFO,2008-01-03 23:01:00,2008-01-04 00:59:00
200,3575,LAS,SFO,2008-01-03 15:18:00,2008-01-03 16:46:00
201,12,LAS,SJC,2008-01-03 13:07:00,2008-01-03 14:32:00
202,400,LAS,SJC,2008-01-03 20:17:00,2008-01-03 21:44:00
203,774,LAS,SJC,2008-01-03 21:14:00,2008-01-03 22:41:00
204,783,LAS,SJC,2008-01-03 16:05:00,2008-01-03 17:39:00
205,3844,LAS,SJC,2008-01-03 17:34:00,2008-01-03 18:57:00
206,161,LAS,SLC,2008-01-03 11:39:00,2008-01-03 14:08:00
207,415,LAS,SLC,2008-01-03 21:04:00,2008-01-03 23:14:00
208,643,LAS,SLC,2008-01-03 09:19:00,2008-01-03 11:32:00
209,1166,LAS,SLC,2008-01-03 21:13:00,2008-01-03 23:28:00
210,1585,LAS,SLC,2008-01-03 17:12:00,2008-01-03 19:35:00
211,1660,LAS,SLC,2008-01-03 14:19:00,2008-01-03 16:27:00
212,2533,LAS,SLC,2008-01-03 22:42:00,2008-01-04 00:54:00
213,94,LAS,SMF,2008-01-03 19:49:00,2008-01-03 21:10:00
214,584,LAS,SMF,2008-01-03 14:09:00,2008-01-03 15:39:00
215,641,LAS,SMF,2008-01-03 18:21:00,2008-01-03 19:46:00
216,2121,LAS,SMF,2008-01-03 09:16:00,2008-01-03 10:46:00
217,2622,LAS,SMF,2008-01-03 11:34:00,2008-01-03 13:02:00
218,3053,LAS,SMF,2008-01-03 15:27:00,2008-01-03 16:48:00
219,3862,LAS,SMF,2008-01-03 21:15:00,2008-01-03 22:36:00
220,433,LAS,SNA,2008-01-03 19:17:00,2008-01-03 20:14:00
221,1016,LAS,SNA,2008-01-03 11:25:00,2008-01-03 12:24:00
222,773,LAS,STL,2008-01-03 11:43:00,2008-01-03 16:41:00
223,1050,LAS,STL,2008-01-03 15:58:00,2008-01-03 20:49:00
224,1583,LAS,STL,2008-01-03 19:40:00,2008-01-04 00:29:00
225,3403,LAS,TPA,2008-01-03 18:20:00,2008-01-04 01:12:00
226,574,LAS,TUL,2008-01-03 11:43:00,2008-01-03 16:21:00
227,486,LAS,TUS,2008-01-03 22:11:00,2008-01-04 00:17:00
228,637,LAS,TUS,2008-01-03 18:21:00,2008-01-03 20:32:00
229,1918,LAS,TUS,2008-01-03 13:41:00,2008-01-03 15:56:00
230,3142,LAS,TUS,2008-01-03 21:08:00,2008-01-03 23:13:00
231,3572,LAS,TUS,2008-01-03 11:18:00,2008-01-03 13:33:00
232,230,LAX,ABQ,2008-01-03 17:35:00,2008-01-03 20:10:00
233,361,LAX,ABQ,2008-01-03 21:05:00,2008-01-03 23:42:00
234,397,LAX,ABQ,2008-01-03 13:28:00,2008-01-03 16:11:00
235,304,LAX,AUS,2008-01-03 10:24:00,2008-01-03 15:04:00
236,1107,LAX,BNA,2008-01-03 16:32:00,2008-01-03 22:07:00
237,1324,LAX,BNA,2008-01-03 13:27:00,2008-01-03 19:02:00
238,330,LAX,ELP,2008-01-03 13:30:00,2008-01-03 16:09:00
239,1671,LAX,ELP,2008-01-03 19:25:00,2008-01-03 22:01:00
240,2635,LAX,ELP,2008-01-03 10:05:00,2008-01-03 12:50:00
241,528,LAX,HOU,2008-01-03 17:42:00,2008-01-03 22:31:00
242,3394,LAX,HOU,2008-01-03 20:20:00,2008-01-04 01:09:00
243,416,LAX,LAS,2008-01-03 15:01:00,2008-01-03 15:54:00
244,479,LAX,LAS,2008-01-03 12:05:00,2008-01-03 13:13:00
245,495,LAX,LAS,2008-01-03 16:52:00,2008-01-03 17:48:00
246,574,LAX,LAS,2008-01-03 09:22:00,2008-01-03 11:02:00
247,1004,LAX,LAS,2008-01-03 18:35:00,2008-01-03 19:31:00
248,1079,LAX,LAS,2008-01-03 10:27:00,2008-01-03 11:51:00
249,2021,LAX,LAS,2008-01-03 19:10:00,2008-01-03 20:26:00
250,2202,LAX,LAS,2008-01-03 21:09:00,2008-01-03 22:12:00
251,2454,LAX,LAS,2008-01-03 22:37:00,2008-01-03 23:35:00
252,2809,LAX,LAS,2008-01-03 20:25:00,2008-01-03 21:20:00
253,3144,LAX,LAS,2008-01-03 14:23:00,2008-01-03 15:19:00
254,321,LAX,MCI,2008-01-03 13:37:00,2008-01-03 18:25:00
255,1668,LAX,MCI,2008-01-03 11:42:00,2008-01-03 16:26:00
256,2208,LAX,MCI,2008-01-03 19:28:00,2008-01-04 00:22:00
257,108,LAX,MDW,2008-01-03 17:13:00,2008-01-03 22:42:00
258,245,LAX,MDW,2008-01-03 12:55:00,2008-01-03 18:25:00
259,771,LAX,MDW,2008-01-03 14:53:00,2008-01-03 21:30:00
260,1014,LAX,MDW,2008-01-03 10:01:00,2008-01-03 15:50:00
261,3588,LAX,MDW,2008-01-03 18:31:00,2008-01-04 00:01:00
262,184,LAX,OAK,2008-01-03 10:30:00,2008-01-03 11:42:00
263,303,LAX,OAK,2008-01-03 20:04:00,2008-01-03 21:27:00
264,418,LAX,OAK,2008-01-03 09:23:00,2008-01-03 11:14:00
265,420,LAX,OAK,2008-01-03 14:19:00,2008-01-03 15:34:00
266,430,LAX,OAK,2008-01-03 15:22:00,2008-01-03 16:38:00
267,440,LAX,OAK,2008-01-03 18:03:00,2008-01-03 19:33:00
268,724,LAX,OAK,2008-01-03 21:46:00,2008-01-03 23:04:00
269,810,LAX,OAK,2008-01-03 20:01:00,2008-01-03 21:18:00
270,829,LAX,OAK,2008-01-03 18:27:00,2008-01-03 19:45:00
271,1026,LAX,OAK,2008-01-03 19:04:00,2008-01-03 20:19:00
272,1032,LAX,OAK,2008-01-03 14:50:00,2008-01-03 16:07:00
273,1061,LAX,OAK,2008-01-03 17:22:00,2008-01-03 18:36:00
274,1135,LAX,OAK,2008-01-03 18:20:00,2008-01-03 19:43:00
275,1168,LAX,OAK,2008-01-03 16:23:00,2008-01-03 17:53:00
276,1414,LAX,OAK,2008-01-03 20:08:00,2008-01-03 21:36:00
277,2639,LAX,OAK,2008-01-03 08:08:00,2008-01-03 09:21:00
278,3655,LAX,OAK,2008-01-03 12:06:00,2008-01-03 13:28:00
279,90,LAX,PHX,2008-01-03 16:09:00,2008-01-03 18:19:00
280,109,LAX,PHX,2008-01-03 18:11:00,2008-01-03 20:16:00
281,314,LAX,PHX,2008-01-03 18:51:00,2008-01-03 20:59:00
282,386,LAX,PHX,2008-01-03 20:20:00,2008-01-03 22:25:00
283,463,LAX,PHX,2008-01-03 12:04:00,2008-01-03 14:07:00
284,520,LAX,PHX,2008-01-03 21:16:00,2008-01-03 23:18:00
285,746,LAX,PHX,2008-01-03 15:56:00,2008-01-03 18:04:00
286,1058,LAX,PHX,2008-01-03 10:40:00,2008-01-03 12:41:00
287,1155,LAX,PHX,2008-01-03 09:40:00,2008-01-03 11:49:00
288,2015,LAX,PHX,2008-01-03 14:19:00,2008-01-03 16:24:00
289,225,LAX,RNO,2008-01-03 17:38:00,2008-01-03 18:48:00
290,1844,LAX,RNO,2008-01-03 08:53:00,2008-01-03 10:00:00
291,2360,LAX,RNO,2008-01-03 14:22:00,2008-01-03 15:32:00
292,2624,LAX,SAT,2008-01-03 11:59:00,2008-01-03 16:35:00
293,593,LAX,SFO,2008-01-03 23:21:00,2008-01-04 00:38:00
294,646,LAX,SFO,2008-01-03 20:08:00,2008-01-03 21:39:00
295,656,LAX,SFO,2008-01-03 16:25:00,2008-01-03 17:48:00
296,680,LAX,SFO,2008-01-03 13:05:00,2008-01-03 14:21:00
297,776,LAX,SFO,2008-01-03 15:58:00,2008-01-03 17:09:00
298,173,LAX,SJC,2008-01-03 16:00:00,2008-01-03 17:14:00
299,232,LAX,SJC,2008-01-03 15:56:00,2008-01-03 17:05:00
300,343,LAX,SJC,2008-01-03 20:56:00,2008-01-03 22:03:00
301,769,LAX,SJC,2008-01-03 11:59:00,2008-01-03 12:59:00
302,1113,LAX,SJC,2008-01-03 21:40:00,2008-01-03 22:49:00
303,1609,LAX,SJC,2008-01-03 14:55:00,2008-01-03 15:57:00
304,2359,LAX,SJC,2008-01-03 19:25:00,2008-01-03 20:24:00
305,2820,LAX,SJC,2008-01-03 13:11:00,2008-01-03 14:14:00
306,2969,LAX,SJC,2008-01-03 10:14:00,2008-01-03 11:20:00
307,3149,LAX,SJC,2008-01-03 17:09:00,2008-01-03 18:15:00
308,554,LAX,SLC,2008-01-03 13:57:00,2008-01-03 16:26:00
309,963,LAX,SLC,2008-01-03 11:14:00,2008-01-03 13:47:00
310,1485,LAX,SLC,2008-01-03 21:17:00,2008-01-03 23:55:00
311,2899,LAX,SLC,2008-01-03 17:42:00,2008-01-03 20:21:00
312,92,LAX,SMF,2008-01-03 11:08:00,2008-01-03 12:26:00
313,337,LAX,SMF,2008-01-03 08:21:00,2008-01-03 09:36:00
314,1015,LAX,SMF,2008-01-03 20:13:00,2008-01-03 21:21:00
315,1486,LAX,SMF,2008-01-03 09:49:00,2008-01-03 11:03:00
316,2437,LAX,SMF,2008-01-03 22:15:00,2008-01-03 23:21:00
317,2720,LAX,SMF,2008-01-03 15:24:00,2008-01-03 16:34:00
318,2985,LAX,SMF,2008-01-03 14:41:00,2008-01-03 15:49:00
319,3155,LAX,SMF,2008-01-03 17:43:00,2008-01-03 18:53:00
320,3584,LAX,SMF,2008-01-03 20:49:00,2008-01-03 22:04:00
321,71,LAX,STL,2008-01-03 17:25:00,2008-01-03 22:38:00
322,75,LAX,TUS,2008-01-03 13:56:00,2008-01-03 16:08:00
323,1044,LAX,TUS,2008-01-03 20:05:00,2008-01-03 22:19:00
324,3831,LAX,TUS,2008-01-03 10:52:00,2008-01-03 13:01:00
325,3939,LAX,TUS,2008-01-03 21:10:00,2008-01-03 23:26:00
326,555,LBB,AUS,2008-01-03 18:25:00,2008-01-03 19:21:00
327,21,LBB,DAL,2008-01-03 10:16:00,2008-01-03 11:19:00
328,35,LBB,DAL,2008-01-03 14:02:00,2008-01-03 15:01:00
329,141,LBB,DAL,2008-01-03 16:52:00,2008-01-03 17:48:00
330,1312,LBB,DAL,2008-01-03 18:25:00,2008-01-03 19:23:00
331,2382,LBB,DAL,2008-01-03 16:06:00,2008-01-03 17:05:00
332,438,LIT,BWI,2008-01-03 16:54:00,2008-01-03 20:06:00
333,41,LIT,DAL,2008-01-03 15:16:00,2008-01-03 16:14:00
334,49,LIT,DAL,2008-01-03 17:52:00,2008-01-03 18:54:00
335,700,LIT,DAL,2008-01-03 12:51:00,2008-01-03 13:48:00
336,2177,LIT,DAL,2008-01-03 11:08:00,2008-01-03 12:06:00
337,2263,LIT,DAL,2008-01-03 20:29:00,2008-01-03 21:27:00
338,231,LIT,HOU,2008-01-03 14:17:00,2008-01-03 15:35:00
339,3053,LIT,LAS,2008-01-03 13:19:00,2008-01-03 14:40:00
340,8,LIT,MDW,2008-01-03 10:51:00,2008-01-03 12:46:00
341,3168,LIT,STL,2008-01-03 18:46:00,2008-01-03 19:51:00
342,10,MAF,ABQ,2008-01-03 16:15:00,2008-01-03 16:23:00
343,2374,MAF,AUS,2008-01-03 18:52:00,2008-01-03 19:42:00
344,43,MAF,DAL,2008-01-03 16:02:00,2008-01-03 17:01:00
345,53,MAF,DAL,2008-01-03 18:36:00,2008-01-03 19:30:00
346,271,MAF,DAL,2008-01-03 19:56:00,2008-01-03 20:56:00
347,914,MAF,DAL,2008-01-03 09:44:00,2008-01-03 10:46:00
348,3828,MAF,HOU,2008-01-03 16:25:00,2008-01-03 17:31:00
349,317,MAF,LAS,2008-01-03 17:39:00,2008-01-03 17:58:00
350,1493,MCI,ABQ,2008-01-03 19:05:00,2008-01-03 20:10:00
351,1655,MCI,ABQ,2008-01-03 08:56:00,2008-01-03 09:50:00
352,290,MCI,BNA,2008-01-03 11:59:00,2008-01-03 13:25:00
353,1568,MCI,BNA,2008-01-03 21:30:00,2008-01-03 23:00:00
354,3320,MCI,BWI,2008-01-03 14:04:00,2008-01-03 17:26:00
355,3829,MCI,BWI,2008-01-03 19:58:00,2008-01-03 23:10:00
356,19,MCI,DAL,2008-01-03 09:37:00,2008-01-03 11:02:00
357,33,MCI,DAL,2008-01-03 12:51:00,2008-01-03 14:15:00
358,59,MCI,DAL,2008-01-03 20:09:00,2008-01-03 21:32:00
359,454,MCI,DEN,2008-01-03 11:01:00,2008-01-03 11:42:00
360,977,MCI,DEN,2008-01-03 19:17:00,2008-01-03 19:59:00
361,1151,MCI,DEN,2008-01-03 15:02:00,2008-01-03 15:40:00
