id,Unnamed: 0,FlightNum,Origin,Dest,Distance,DepTime1,ArrTime1
25,25,2871,ISP,MDW,765,2008-01-03T14:24:00,2008-01-03T15:31:00
26,26,1056,ISP,PBI,1052,2008-01-03T13:26:00,2008-01-03T15:59:00
27,27,2175,ISP,PBI,1052,2008-01-03T17:49:00,2008-01-03T20:19:00
28,28,3319,ISP,PBI,1052,2008-01-03T07:26:00,2008-01-03T09:58:00
29,29,3667,ISP,RSW,1101,2008-01-03T06:46:00,2008-01-03T09:29:00
30,30,2006,ISP,TPA,1034,2008-01-03T11:53:00,2008-01-03T14:28:00
31,31,3858,ISP,TPA,1034,2008-01-03T15:28:00,2008-01-03T18:02:00
32,32,3244,JAN,BWI,888,2008-01-03T14:50:00,2008-01-03T18:06:00
33,33,186,JAN,HOU,359,2008-01-03T22:45:00,2008-01-03T23:54:00
34,34,3154,JAN,HOU,359,2008-01-03T20:25:00,2008-01-03T21:35:00
35,35,1035,JAN,MCO,587,2008-01-03T10:38:00,2008-01-03T13:14:00
36,36,205,JAN,MDW,666,2008-01-03T19:00:00,2008-01-03T21:23:00
37,37,3430,JAX,BHM,365,2008-01-03T09:48:00,2008-01-03T09:59:00
38,38,1580,JAX,BNA,484,2008-01-03T06:46:00,2008-01-03T07:25:00
39,39,2195,JAX,BNA,484,2008-01-03T11:10:00,2008-01-03T11:36:00
40,40,378,JAX,FLL,318,2008-01-03T21:39:00,2008-01-03T22:44:00
41,41,3948,JAX,FLL,318,2008-01-03T17:38:00,2008-01-03T18:41:00
42,42,54,JAX,HOU,816,2008-01-03T18:13:00,2008-01-03T19:36:00
43,43,2272,JAX,IND,688,2008-01-03T08:02:00,2008-01-03T10:01:00
44,44,23,JAX,PHL,742,2008-01-03T17:34:00,2008-01-03T19:41:00
45,45,1232,JAX,PHL,742,2008-01-03T07:12:00,2008-01-03T09:26:00
46,46,977,JAX,TPA,180,2008-01-03T13:18:00,2008-01-03T14:10:00
47,47,1574,JAX,TPA,180,2008-01-03T09:58:00,2008-01-03T10:52:00
48,48,2019,JAX,TPA,180,2008-01-03T18:59:00,2008-01-03T19:50:00
49,49,500,LAS,ABQ,487,2008-01-03T15:38:00,2008-01-03T17:53:00
50,50,890,LAS,ABQ,487,2008-01-03T22:48:00,2008-01-04T01:02:00
51,51,1171,LAS,ABQ,487,2008-01-03T13:27:00,2008-01-03T15:50:00
52,52,1925,LAS,ABQ,487,2008-01-03T16:14:00,2008-01-03T18:33:00
53,53,302,LAS,ALB,2237,2008-01-03T18:32:00,2008-01-04T01:48:00
54,54,1079,LAS,AMA,758,2008-01-03T12:29:00,2008-01-03T16:33:00
55,55,155,LAS,AUS,1090,2008-01-03T12:56:00,2008-01-03T17:24:00
56,56,2021,LAS,AUS,1090,2008-01-03T21:18:00,2008-01-04T01:44:00
57,57,3222,LAS,AUS,1090,2008-01-03T09:05:00,2008-01-03T13:34:00
58,58,1018,LAS,BDL,2298,2008-01-03T17:39:00,2008-01-04T01:14:00
59,59,419,LAS,BNA,1588,2008-01-03T13:25:00,2008-01-03T18:41:00
60,60,2032,LAS,BNA,1588,2008-01-03T15:06:00,2008-01-03T20:30:00
61,61,3940,LAS,BNA,1588,2008-01-03T20:39:00,2008-01-04T01:55:00
62,62,538,LAS,BOI,520,2008-01-03T16:11:00,2008-01-03T18:49:00
63,63,2383,LAS,BUF,1987,2008-01-03T18:24:00,2008-01-04T01:17:00
64,64,219,LAS,BUR,223,2008-01-03T21:18:00,2008-01-03T22:24:00
65,65,391,LAS,BUR,223,2008-01-03T18:18:00,2008-01-03T19:16:00
66,66,815,LAS,BUR,223,2008-01-03T21:46:00,2008-01-03T22:50:00
67,67,1072,LAS,BUR,223,2008-01-03T22:41:00,2008-01-03T23:40:00
68,68,1328,LAS,BUR,223,2008-01-03T14:09:00,2008-01-03T15:13:00
69,69,1586,LAS,BUR,223,2008-01-03T11:00:00,2008-01-03T11:57:00
70,70,1838,LAS,BUR,223,2008-01-03T13:06:00,2008-01-03T14:06:00
71,71,2284,LAS,BUR,223,2008-01-03T17:26:00,2008-01-03T18:32:00
72,72,2874,LAS,BUR,223,2008-01-03T12:29:00,2008-01-03T13:42:00
73,73,1774,LAS,BWI,2106,2008-01-03T09:08:00,2008-01-03T16:28:00
74,74,2632,LAS,BWI,2106,2008-01-03T18:17:00,2008-01-04T01:22:00
75,75,818,LAS,CLE,1825,2008-01-03T09:56:00,2008-01-03T16:58:00
76,76,564,LAS,CMH,1772,2008-01-03T18:49:00,2008-01-04T01:21:00
77,77,991,LAS,CMH,1772,2008-01-03T12:10:00,2008-01-03T19:05:00
78,78,157,LAS,DEN,629,2008-01-03T10:47:00,2008-01-03T13:28:00
79,79,632,LAS,DEN,629,2008-01-03T22:32:00,2008-01-04T01:08:00
80,80,706,LAS,DEN,629,2008-01-03T15:12:00,2008-01-03T18:02:00
81,81,908,LAS,DEN,629,2008-01-03T20:25:00,2008-01-03T23:01:00
82,82,1582,LAS,DEN,629,2008-01-03T14:39:00,2008-01-03T17:20:00
83,83,2907,LAS,DEN,629,2008-01-03T16:27:00,2008-01-03T19:16:00
84,84,2192,LAS,ELP,584,2008-01-03T17:45:00,2008-01-03T20:17:00
85,85,2280,LAS,ELP,584,2008-01-03T10:49:00,2008-01-03T13:20:00
86,86,1636,LAS,GEG,806,2008-01-03T11:17:00,2008-01-03T13:25:00
87,87,2803,LAS,GEG,806,2008-01-03T17:25:00,2008-01-03T19:40:00
88,88,719,LAS,HOU,1235,2008-01-03T18:24:00,2008-01-03T23:03:00
89,89,1776,LAS,HOU,1235,2008-01-03T11:50:00,2008-01-03T16:44:00
90,90,3244,LAS,HOU,1235,2008-01-03T07:49:00,2008-01-03T12:27:00
91,91,3746,LAS,HOU,1235,2008-01-03T20:51:00,2008-01-04T01:34:00
92,92,1027,LAS,IAD,2066,2008-01-03T15:55:00,2008-01-03T23:07:00
93,93,1924,LAS,IND,1591,2008-01-03T22:55:00,2008-01-04T05:09:00
94,94,3920,LAS,IND,1591,2008-01-03T11:29:00,2008-01-03T17:57:00
95,95,3144,LAS,ISP,2283,2008-01-03T16:02:00,2008-01-03T23:57:00
96,96,82,LAS,LAX,236,2008-01-03T17:38:00,2008-01-03T18:38:00
97,97,135,LAS,LAX,236,2008-01-03T22:07:00,2008-01-03T23:06:00
98,98,317,LAS,LAX,236,2008-01-03T18:51:00,2008-01-03T20:04:00
99,99,337,LAS,LAX,236,2008-01-03T07:01:00,2008-01-03T08:02:00
100,100,354,LAS,LAX,236,2008-01-03T15:56:00,2008-01-03T17:04:00
101,101,1061,LAS,LAX,236,2008-01-03T15:40:00,2008-01-03T16:48:00
102,102,1928,LAS,LAX,236,2008-01-03T12:28:00,2008-01-03T13:40:00
103,103,2367,LAS,LAX,236,2008-01-03T20:47:00,2008-01-03T22:09:00
104,104,2896,LAS,LAX,236,2008-01-03T21:58:00,2008-01-03T23:03:00
105,105,2382,LAS,LBB,775,2008-01-03T11:47:00,2008-01-03T15:41:00
106,106,565,LAS,LIT,1295,2008-01-03T08:59:00,2008-01-03T13:43:00
107,107,43,LAS,MAF,796,2008-01-03T11:40:00,2008-01-03T15:37:00
108,108,213,LAS,MCI,1140,2008-01-03T12:26:00,2008-01-03T17:21:00
109,109,411,LAS,MCI,1140,2008-01-03T21:18:00,2008-01-04T01:54:00
110,110,1004,LAS,MCI,1140,2008-01-03T20:03:00,2008-01-04T00:26:00
111,111,1405,LAS,MCI,1140,2008-01-03T16:22:00,2008-01-03T20:59:00
112,112,3068,LAS,MCI,1140,2008-01-03T10:03:00,2008-01-03T14:41:00
113,113,380,LAS,MCO,2039,2008-01-03T13:19:00,2008-01-03T20:33:00
114,114,74,LAS,MDW,1521,2008-01-03T15:06:00,2008-01-03T21:22:00
115,115,396,LAS,MDW,1521,2008-01-03T14:24:00,2008-01-03T19:41:00
116,116,693,LAS,MDW,1521,2008-01-03T12:11:00,2008-01-03T17:50:00
117,117,823,LAS,MDW,1521,2008-01-03T08:14:00,2008-01-03T13:34:00
118,118,1865,LAS,MDW,1521,2008-01-03T17:08:00,2008-01-03T22:14:00
119,119,2025,LAS,MDW,1521,2008-01-03T19:19:00,2008-01-04T00:31:00
120,120,2450,LAS,MDW,1521,2008-01-03T19:45:00,2008-01-04T00:52:00
121,121,2794,LAS,MDW,1521,2008-01-03T20:57:00,2008-01-04T02:02:00
122,122,3232,LAS,MDW,1521,2008-01-03T13:54:00,2008-01-03T19:07:00
123,123,767,LAS,MHT,2356,2008-01-03T17:03:00,2008-01-04T00:33:00
124,124,3327,LAS,MSY,1501,2008-01-03T19:03:00,2008-01-04T00:05:00
125,125,127,LAS,OAK,407,2008-01-03T13:54:00,2008-01-03T15:25:00
126,126,223,LAS,OAK,407,2008-01-03T19:44:00,2008-01-03T21:10:00
127,127,237,LAS,OAK,407,2008-01-03T12:51:00,2008-01-03T14:25:00
128,128,280,LAS,OAK,407,2008-01-03T15:48:00,2008-01-03T17:28:00
129,129,900,LAS,OAK,407,2008-01-03T22:16:00,2008-01-03T23:48:00
130,130,962,LAS,OAK,407,2008-01-03T20:10:00,2008-01-03T22:03:00
131,131,1011,LAS,OAK,407,2008-01-03T14:33:00,2008-01-03T16:08:00
132,132,1258,LAS,OAK,407,2008-01-03T09:35:00,2008-01-03T11:06:00
133,133,3135,LAS,OAK,407,2008-01-03T20:35:00,2008-01-03T22:09:00
134,134,86,LAS,OKC,987,2008-01-03T11:52:00,2008-01-03T16:16:00
135,135,479,LAS,OMA,1099,2008-01-03T14:35:00,2008-01-03T18:59:00
136,136,875,LAS,OMA,1099,2008-01-03T20:49:00,2008-01-04T01:06:00
137,137,725,LAS,ONT,197,2008-01-03T20:15:00,2008-01-03T21:01:00
138,138,906,LAS,ONT,197,2008-01-03T11:02:00,2008-01-03T11:52:00
139,139,1493,LAS,ONT,197,2008-01-03T22:18:00,2008-01-03T23:08:00
140,140,1670,LAS,ONT,197,2008-01-03T08:51:00,2008-01-03T09:38:00
141,141,2018,LAS,ONT,197,2008-01-03T12:30:00,2008-01-03T13:31:00
142,142,2730,LAS,ONT,197,2008-01-03T18:38:00,2008-01-03T19:30:00
143,143,3070,LAS,ONT,197,2008-01-03T13:58:00,2008-01-03T14:49:00
144,144,156,LAS,ORF,2155,2008-01-03T17:57:00,2008-01-04T01:08:00
145,145,700,LAS,PDX,762,2008-01-03T18:16:00,2008-01-03T20:22:00
146,146,2354,LAS,PDX,762,2008-01-03T13:28:00,2008-01-03T15:49:00
147,147,2550,LAS,PDX,762,2008-01-03T21:34:00,2008-01-03T23:43:00
148,148,1285,LAS,PHL,2176,2008-01-03T11:27:00,2008-01-03T18:56:00
149,149,1843,LAS,PHL,2176,2008-01-03T17:20:00,2008-01-04T00:41:00
150,150,243,LAS,PHX,256,2008-01-03T07:12:00,2008-01-03T09:32:00
151,151,287,LAS,PHX,256,2008-01-03T13:27:00,2008-01-03T15:33:00
152,152,504,LAS,PHX,256,2008-01-03T18:17:00,2008-01-03T20:16:00
153,153,559,LAS,PHX,256,2008-01-03T18:07:00,2008-01-03T20:11:00
154,154,668,LAS,PHX,256,2008-01-03T17:12:00,2008-01-03T19:14:00
155,155,781,LAS,PHX,256,2008-01-03T11:34:00,2008-01-03T13:43:00
156,156,1403,LAS,PHX,256,2008-01-03T21:56:00,2008-01-03T23:53:00
157,157,1682,LAS,PHX,256,2008-01-03T21:40:00,2008-01-03T23:34:00
158,158,2726,LAS,PHX,256,2008-01-03T15:21:00,2008-01-03T17:25:00
159,159,2991,LAS,PHX,256,2008-01-03T21:00:00,2008-01-03T22:55:00
160,160,3517,LAS,PHX,256,2008-01-03T16:57:00,2008-01-03T19:05:00
161,161,3598,LAS,PHX,256,2008-01-03T09:26:00,2008-01-03T11:29:00
162,162,512,LAS,PIT,1910,2008-01-03T18:25:00,2008-01-04T01:14:00
163,163,594,LAS,PIT,1910,2008-01-03T09:27:00,2008-01-03T16:31:00
164,164,416,LAS,PVD,2363,2008-01-03T16:30:00,2008-01-04T00:23:00
165,165,170,LAS,RDU,2027,2008-01-03T11:36:00,2008-01-03T18:52:00
166,166,1509,LAS,RDU,2027,2008-01-03T18:24:00,2008-01-04T01:21:00
167,167,239,LAS,RNO,345,2008-01-03T17:16:00,2008-01-03T18:30:00
168,168,298,LAS,RNO,345,2008-01-03T19:28:00,2008-01-03T20:34:00
169,169,675,LAS,RNO,345,2008-01-03T17:41:00,2008-01-03T19:05:00
170,170,709,LAS,RNO,345,2008-01-03T16:09:00,2008-01-03T17:32:00
171,171,891,LAS,RNO,345,2008-01-03T09:13:00,2008-01-03T10:29:00
172,172,1341,LAS,RNO,345,2008-01-03T22:15:00,2008-01-03T23:34:00
173,173,2273,LAS,RNO,345,2008-01-03T21:37:00,2008-01-03T22:51:00
174,174,2719,LAS,RNO,345,2008-01-03T11:00:00,2008-01-03T12:10:00
175,175,3430,LAS,RNO,345,2008-01-03T13:13:00,2008-01-03T14:37:00
176,176,3835,LAS,RNO,345,2008-01-03T14:15:00,2008-01-03T15:27:00
177,177,341,LAS,SAN,258,2008-01-03T13:48:00,2008-01-03T14:55:00
178,178,708,LAS,SAN,258,2008-01-03T21:40:00,2008-01-03T22:40:00
179,179,715,LAS,SAN,258,2008-01-03T16:43:00,2008-01-03T17:51:00
180,180,1037,LAS,SAN,258,2008-01-03T09:46:00,2008-01-03T10:45:00
181,181,1254,LAS,SAN,258,2008-01-03T19:15:00,2008-01-03T20:16:00
182,182,2186,LAS,SAN,258,2008-01-03T18:39:00,2008-01-03T19:45:00
183,183,2211,LAS,SAN,258,2008-01-03T22:07:00,2008-01-03T23:07:00
184,184,2357,LAS,SAN,258,2008-01-03T15:03:00,2008-01-03T16:04:00
185,185,2363,LAS,SAN,258,2008-01-03T16:13:00,2008-01-03T17:27:00
186,186,2449,LAS,SAN,258,2008-01-03T22:48:00,2008-01-03T23:46:00
187,187,3423,LAS,SAN,258,2008-01-03T11:18:00,2008-01-03T12:25:00
188,188,120,LAS,SAT,1069,2008-01-03T14:56:00,2008-01-03T19:20:00
189,189,802,LAS,SAT,1069,2008-01-03T20:22:00,2008-01-04T00:36:00
190,190,2113,LAS,SAT,1069,2008-01-03T10:49:00,2008-01-03T15:09:00
191,191,495,LAS,SDF,1624,2008-01-03T18:31:00,2008-01-04T01:10:00
192,192,340,LAS,SEA,866,2008-01-03T17:04:00,2008-01-03T19:29:00
193,193,563,LAS,SEA,866,2008-01-03T20:17:00,2008-01-03T22:41:00
194,194,2465,LAS,SEA,866,2008-01-03T11:17:00,2008-01-03T13:30:00
195,195,488,LAS,SFO,414,2008-01-03T14:26:00,2008-01-03T16:05:00
196,196,619,LAS,SFO,414,2008-01-03T10:09:00,2008-01-03T11:48:00
197,197,2005,LAS,SFO,414,2008-01-03T20:21:00,2008-01-03T23:03:00
198,198,2788,LAS,SFO,414,2008-01-03T20:25:00,2008-01-03T22:08:00
199,199,3061,LAS,SFO,414,2008-01-03T23:01:00,2008-01-04T00:59:00
200,200,3575,LAS,SFO,414,2008-01-03T15:18:00,2008-01-03T16:46:00
201,201,12,LAS,SJC,386,2008-01-03T13:07:00,2008-01-03T14:32:00
202,202,400,LAS,SJC,386,2008-01-03T20:17:00,2008-01-03T21:44:00
203,203,774,LAS,SJC,386,2008-01-03T21:14:00,2008-01-03T22:41:00
204,204,783,LAS,SJC,386,2008-01-03T16:05:00,2008-01-03T17:39:00
205,205,3844,LAS,SJC,386,2008-01-03T17:34:00,2008-01-03T18:57:00
206,206,161,LAS,SLC,368,2008-01-03T11:39:00,2008-01-03T14:08:00
207,207,415,LAS,SLC,368,2008-01-03T21:04:00,2008-01-03T23:14:00
208,208,643,LAS,SLC,368,2008-01-03T09:19:00,2008-01-03T11:32:00
209,209,1166,LAS,SLC,368,2008-01-03T21:13:00,2008-01-03T23:28:00
210,210,1585,LAS,SLC,368,2008-01-03T17:12:00,2008-01-03T19:35:00
211,211,1660,LAS,SLC,368,2008-01-03T14:19:00,2008-01-03T16:27:00
212,212,2533,LAS,SLC,368,2008-01-03T22:42:00,2008-01-04T00:54:00
213,213,94,LAS,SMF,397,2008-01-03T19:49:00,2008-01-03T21:10:00
214,214,584,LAS,SMF,397,2008-01-03T14:09:00,2008-01-03T15:39:00
215,215,641,LAS,SMF,397,2008-01-03T18:21:00,2008-01-03T19:46:00
216,216,2121,LAS,SMF,397,2008-01-03T09:16:00,2008-01-03T10:46:00
217,217,2622,LAS,SMF,397,2008-01-03T11:34:00,2008-01-03T13:02:00
218,218,3053,LAS,SMF,397,2008-01-03T15:27:00,2008-01-03T16:48:00
219,219,3862,LAS,SMF,397,2008-01-03T21:15:00,2008-01-03T22:36:00
220,220,433,LAS,SNA,226,2008-01-03T19:17:00,2008-01-03T20:14:00
221,221,1016,LAS,SNA,226,2008-01-03T11:25:00,2008-01-03T12:24:00
222,222,773,LAS,STL,1372,2008-01-03T11:43:00,2008-01-03T16:41:00
223,223,1050,LAS,STL,1372,2008-01-03T15:58:00,2008-01-03T20:49:00
224,224,1583,LAS,STL,1372,2008-01-03T19:40:00,2008-01-04T00:29:00
225,225,3403,LAS,TPA,1984,2008-01-03T18:20:00,2008-01-04T01:12:00
226,226,574,LAS,TUL,1076,2008-01-03T11:43:00,2008-01-03T16:21:00
227,227,486,LAS,TUS,365,2008-01-03T22:11:00,2008-01-04T00:17:00
228,228,637,LAS,TUS,365,2008-01-03T18:21:00,2008-01-03T20:32:00
229,229,1918,LAS,TUS,365,2008-01-03T13:41:00,2008-01-03T15:56:00
230,230,3142,LAS,TUS,365,2008-01-03T21:08:00,2008-01-03T23:13:00
231,231,3572,LAS,TUS,365,2008-01-03T11:18:00,2008-01-03T13:33:00
232,232,230,LAX,ABQ,677,2008-01-03T17:35:00,2008-01-03T20:10:00
233,233,361,LAX,ABQ,677,2008-01-03T21:05:00,2008-01-03T23:42:00
234,234,397,LAX,ABQ,677,2008-01-03T13:28:00,2008-01-03T16:11:00
235,235,304,LAX,AUS,1242,2008-01-03T10:24:00,2008-01-03T15:04:00
236,236,1107,LAX,BNA,1797,2008-01-03T16:32:00,2008-01-03T22:07:00
237,237,1324,LAX,BNA,1797,2008-01-03T13:27:00,2008-01-03T19:02:00
238,238,330,LAX,ELP,714,2008-01-03T13:30:00,2008-01-03T16:09:00
239,239,1671,LAX,ELP,714,2008-01-03T19:25:00,2008-01-03T22:01:00
240,240,2635,LAX,ELP,714,2008-01-03T10:05:00,2008-01-03T12:50:00
241,241,528,LAX,HOU,1390,2008-01-03T17:42:00,2008-01-03T22:31:00
242,242,3394,LAX,HOU,1390,2008-01-03T20:20:00,2008-01-04T01:09:00
243,243,416,LAX,LAS,236,2008-01-03T15:01:00,2008-01-03T15:54:00
244,244,479,LAX,LAS,236,2008-01-03T12:05:00,2008-01-03T13:13:00
245,245,495,LAX,LAS,236,2008-01-03T16:52:00,2008-01-03T17:48:00
246,246,574,LAX,LAS,236,2008-01-03T09:22:00,2008-01-03T11:02:00
247,247,1004,LAX,LAS,236,2008-01-03T18:35:00,2008-01-03T19:31:00
248,248,1079,LAX,LAS,236,2008-01-03T10:27:00,2008-01-03T11:51:00
249,249,2021,LAX,LAS,236,2008-01-03T19:10:00,2008-01-03T20:26:00
250,250,2202,LAX,LAS,236,2008-01-03T21:09:00,2008-01-03T22:12:00
251,251,2454,LAX,LAS,236,2008-01-03T22:37:00,2008-01-03T23:35:00
252,252,2809,LAX,LAS,236,2008-01-03T20:25:00,2008-01-03T21:20:00
253,253,3144,LAX,LAS,236,2008-01-03T14:23:00,2008-01-03T15:19:00
254,254,321,LAX,MCI,1363,2008-01-03T13:37:00,2008-01-03T18:25:00
255,255,1668,LAX,MCI,1363,2008-01-03T11:42:00,2008-01-03T16:26:00
256,256,2208,LAX,MCI,1363,2008-01-03T19:28:00,2008-01-04T00:22:00
257,257,108,LAX,MDW,1750,2008-01-03T17:13:00,2008-01-03T22:42:00
258,258,245,LAX,MDW,1750,2008-01-03T12:55:00,2008-01-03T18:25:00
259,259,771,LAX,MDW,1750,2008-01-03T14:53:00,2008-01-03T21:30:00
260,260,1014,LAX,MDW,1750,2008-01-03T10:01:00,2008-01-03T15:50:00
261,261,3588,LAX,MDW,1750,2008-01-03T18:31:00,2008-01-04T00:01:00
262,262,184,LAX,OAK,337,2008-01-03T10:30:00,2008-01-03T11:42:00
263,263,303,LAX,OAK,337,2008-01-03T20:04:00,2008-01-03T21:27:00
264,264,418,LAX,OAK,337,2008-01-03T09:23:00,2008-01-03T11:14:00
265,265,420,LAX,OAK,337,2008-01-03T14:19:00,2008-01-03T15:34:00
266,266,430,LAX,OAK,337,2008-01-03T15:22:00,2008-01-03T16:38:00
267,267,440,LAX,OAK,337,2008-01-03T18:03:00,2008-01-03T19:33:00
268,268,724,LAX,OAK,337,2008-01-03T21:46:00,2008-01-03T23:04:00
269,269,810,LAX,OAK,337,2008-01-03T20:01:00,2008-01-03T21:18:00
270,270,829,LAX,OAK,337,2008-01-03T18:27:00,2008-01-03T19:45:00
271,271,1026,LAX,OAK,337,2008-01-03T19:04:00,2008-01-03T20:19:00
272,272,1032,LAX,OAK,337,2008-01-03T14:50:00,2008-01-03T16:07:00
273,273,1061,LAX,OAK,337,2008-01-03T17:22:00,2008-01-03T18:36:00
274,274,1135,LAX,OAK,337,2008-01-03T18:20:00,2008-01-03T19:43:00
275,275,1168,LAX,OAK,337,2008-01-03T16:23:00,2008-01-03T17:53:00
276,276,1414,LAX,OAK,337,2008-01-03T20:08:00,2008-01-03T21:36:00
277,277,2639,LAX,OAK,337,2008-01-03T08:08:00,2008-01-03T09:21:00
278,278,3655,LAX,OAK,337,2008-01-03T12:06:00,2008-01-03T13:28:00
279,279,90,LAX,PHX,370,2008-01-03T16:09:00,2008-01-03T18:19:00
280,280,109,LAX,PHX,370,2008-01-03T18:11:00,2008-01-03T20:16:00
281,281,314,LAX,PHX,370,2008-01-03T18:51:00,2008-01-03T20:59:00
282,282,386,LAX,PHX,370,2008-01-03T20:20:00,2008-01-03T22:25:00
283,283,463,LAX,PHX,370,2008-01-03T12:04:00,2008-01-03T14:07:00
284,284,520,LAX,PHX,370,2008-01-03T21:16:00,2008-01-03T23:18:00
285,285,746,LAX,PHX,370,2008-01-03T15:56:00,2008-01-03T18:04:00
286,286,1058,LAX,PHX,370,2008-01-03T10:40:00,2008-01-03T12:41:00
287,287,1155,LAX,PHX,370,2008-01-03T09:40:00,2008-01-03T11:49:00
288,288,2015,LAX,PHX,370,2008-01-03T14:19:00,2008-01-03T16:24:00
289,289,225,LAX,RNO,390,2008-01-03T17:38:00,2008-01-03T18:48:00
290,290,1844,LAX,RNO,390,2008-01-03T08:53:00,2008-01-03T10:00:00
291,291,2360,LAX,RNO,390,2008-01-03T14:22:00,2008-01-03T15:32:00
292,292,2624,LAX,SAT,1210,2008-01-03T11:59:00,2008-01-03T16:35:00
293,293,593,LAX,SFO,337,2008-01-03T23:21:00,2008-01-04T00:38:00
294,294,646,LAX,SFO,337,2008-01-03T20:08:00,2008-01-03T21:39:00
295,295,656,LAX,SFO,337,2008-01-03T16:25:00,2008-01-03T17:48:00
296,296,680,LAX,SFO,337,2008-01-03T13:05:00,2008-01-03T14:21:00
297,297,776,LAX,SFO,337,2008-01-03T15:58:00,2008-01-03T17:09:00
298,298,173,LAX,SJC,308,2008-01-03T16:00:00,2008-01-03T17:14:00
299,299,232,LAX,SJC,308,2008-01-03T15:56:00,2008-01-03T17:05:00
300,300,343,LAX,SJC,308,2008-01-03T20:56:00,2008-01-03T22:03:00
301,301,769,LAX,SJC,308,2008-01-03T11:59:00,2008-01-03T12:59:00
302,302,1113,LAX,SJC,308,2008-01-03T21:40:00,2008-01-03T22:49:00
303,303,1609,LAX,SJC,308,2008-01-03T14:55:00,2008-01-03T15:57:00
304,304,2359,LAX,SJC,308,2008-01-03T19:25:00,2008-01-03T20:24:00
305,305,2820,LAX,SJC,308,2008-01-03T13:11:00,2008-01-03T14:14:00
306,306,2969,LAX,SJC,308,2008-01-03T10:14:00,2008-01-03T11:20:00
307,307,3149,LAX,SJC,308,2008-01-03T17:09:00,2008-01-03T18:15:00
308,308,554,LAX,SLC,590,2008-01-03T13:57:00,2008-01-03T16:26:00
309,309,963,LAX,SLC,590,2008-01-03T11:14:00,2008-01-03T13:47:00
310,310,1485,LAX,SLC,590,2008-01-03T21:17:00,2008-01-03T23:55:00
311,311,2899,LAX,SLC,590,2008-01-03T17:42:00,2008-01-03T20:21:00
312,312,92,LAX,SMF,373,2008-01-03T11:08:00,2008-01-03T12:26:00
313,313,337,LAX,SMF,373,2008-01-03T08:21:00,2008-01-03T09:36:00
314,314,1015,LAX,SMF,373,2008-01-03T20:13:00,2008-01-03T21:21:00
315,315,1486,LAX,SMF,373,2008-01-03T09:49:00,2008-01-03T11:03:00
316,316,2437,LAX,SMF,373,2008-01-03T22:15:00,2008-01-03T23:21:00
317,317,2720,LAX,SMF,373,2008-01-03T15:24:00,2008-01-03T16:34:00
318,318,2985,LAX,SMF,373,2008-01-03T14:41:00,2008-01-03T15:49:00
319,319,3155,LAX,SMF,373,2008-01-03T17:43:00,2008-01-03T18:53:00
320,320,3584,LAX,SMF,373,2008-01-03T20:49:00,2008-01-03T22:04:00
321,321,71,LAX,STL,1593,2008-01-03T17:25:00,2008-01-03T22:38:00
322,322,75,LAX,TUS,451,2008-01-03T13:56:00,2008-01-03T16:08:00
323,323,1044,LAX,TUS,451,2008-01-03T20:05:00,2008-01-03T22:19:00
324,324,3831,LAX,TUS,451,2008-01-03T10:52:00,2008-01-03T13:01:00
